2P%,2PA,3P%,3PA,AGE,APG,AST%,BPG,DRTG,EFG%,FG%,FT%,FTA,GM,GP,GS,MIN%,MPG,ORTG,PLAYER,POS,PPG,PTS,RBD,RPG,SPG,TEAM,TOR,TRB%,TS%,USG%,VI,YEAR
0.371,35.0,0.308,26.0,30,0.9,14.8,0.08,,,,0.571,7.0,,12,,23.0,11.0,,Aaron Brooks,PG,4.5,,,1.5,0.25,Chi,0.123,7.5,0.421,25.1,6.6,2015
0.52,202.0,0.222,9.0,28,3.7,20.4,1.44,,,,0.75,20.0,,16,,67.9,32.6,,Al Horford,C,14.4,,,8.6,0.81,Atl,0.102,14.2,0.525,21.4,9.5,2015
0.6,25.0,0.625,16.0,32,1.2,8.7,0.17,,,,0.667,9.0,,6,,49.3,23.6,,Alan Anderson,SG,11.0,,,3.5,0.67,Bro,0.151,8.0,0.734,17.1,6.1,2015
0.5,20.0,0.636,11.0,24,1.2,5.3,1.6,,,,0.789,19.0,,5,,62.6,30.0,,Al-Farouq Aminu,SF,11.2,,,7.2,2.0,Dal,0.132,12.3,0.711,12.4,6.1,2015
0.667,3.0,1.0,2.0,22,0.5,4.4,0.5,,,,0.0,0.0,,2,,40.2,19.3,,Allen Crabbe,SG,5.0,,,1.5,1.0,Por,0.167,4.2,1.0,7.1,3.2,2015
0.429,35.0,0.0,0.0,32,0.6,6.0,0.6,,,,0.692,13.0,,5,,31.3,15.0,,Amar'e Stoudemire,PF,7.8,,,3.2,0.2,Dal,0.147,11.0,0.479,26.0,6.6,2015
0.714,28.0,0.0,1.0,27,1.0,6.3,0.75,,,,0.5,12.0,,4,,58.1,27.9,,Amir Johnson,PF,11.5,,,7.0,0.25,Tor,0.17,14.2,0.671,16.6,6.2,2015
0.584,89.0,0.354,82.0,31,3.6,18.0,0.33,,,,0.415,65.0,,21,,63.0,30.2,,Andre Iguodala,SG,10.4,,,4.5,1.24,Gol,0.066,8.1,0.546,15.1,7.3,2015
0.568,74.0,0.0,1.0,30,1.9,11.9,1.79,,,,0.385,13.0,,19,,48.2,23.1,,Andrew Bogut,C,4.7,,,8.1,0.58,Gol,0.244,19.0,0.551,10.9,7.2,2015
0.553,85.0,0.0,2.0,21,2.0,9.4,3.0,,,,0.889,36.0,,4,,89.3,42.9,,Anthony Davis,PF,31.5,,,10.8,1.25,Nor,0.112,13.9,0.613,30.9,8.2,2015
0.3,10.0,0.0,0.0,28,0.3,3.5,0.0,,,,1.0,3.0,,4,,20.9,10.0,,Aron Baynes,C,2.3,,,2.5,0.0,San,0.209,13.3,0.398,16.0,4.8,2015
0.125,8.0,0.25,4.0,29,0.7,5.0,0.0,,,,0.0,1.0,,3,,41.6,20.0,,Arron Afflalo,SG,1.7,,,2.3,0.0,Por,0.194,6.3,0.201,11.8,2.8,2015
0.471,70.0,0.371,35.0,22,1.1,10.1,0.29,,,,0.632,19.0,,14,,37.2,17.9,,Austin Rivers,PG,8.4,,,1.7,0.71,Lac,0.096,5.0,0.516,21.7,5.6,2015
0.452,31.0,0.263,19.0,24,0.8,3.9,0.0,,,,0.857,7.0,,4,,69.3,33.3,,Avery Bradley,SG,12.3,,,3.8,0.75,Bos,0.053,6.2,0.462,18.8,4.0,2015
0.474,57.0,0.25,16.0,32,2.1,21.1,0.0,,,,0.833,12.0,,10,,36.5,17.5,,Beno Udrih,PG,7.6,,,2.0,0.5,Mem,0.049,6.3,0.485,21.5,7.3,2015
0.521,267.0,0.143,7.0,25,6.1,27.3,1.0,,,,0.717,106.0,,14,,82.9,39.8,,Blake Griffin,PF,25.5,,,12.7,1.0,Lac,0.123,16.8,0.557,28.5,12.6,2015
0.462,26.0,0.333,33.0,25,1.7,7.7,0.33,,,,0.714,7.0,,6,,71.6,34.3,,Bojan Bogdanovic,SF,10.3,,,3.8,0.67,Bro,0.114,6.0,0.499,15.6,4.7,2015
0.566,53.0,0.222,18.0,32,3.6,20.6,0.43,,,,0.692,13.0,,7,,58.9,28.3,,Boris Diaw,PF,11.6,,,6.1,0.71,San,0.105,11.6,0.528,19.4,9.0,2015
0.423,137.0,0.365,63.0,21,4.6,19.1,0.7,,,,0.831,59.0,,10,,87.0,41.8,,Bradley Beal,SG,23.4,,,5.5,1.6,Was,0.103,7.1,0.518,26.7,8.0,2015
0.35,20.0,0.0,0.0,29,2.5,18.1,0.75,,,,0.6,10.0,,4,,44.7,21.5,,Brandon Bass,PF,5.0,,,2.0,0.25,Bos,0.109,5.1,0.41,14.3,5.4,2015
0.494,87.0,0.0,0.0,26,0.8,3.8,2.17,,,,0.825,40.0,,6,,81.1,38.9,,Brook Lopez,C,19.8,,,9.0,0.67,Bro,0.054,12.5,0.569,21.7,5.4,2015
0.455,11.0,0.0,4.0,26,2.0,7.4,0.0,,,,0.0,0.0,,1,,76.6,36.8,,Chandler Parsons,SF,10.0,,,6.0,0.0,Dal,0.063,8.4,0.333,17.8,5.4,2015
0.5,6.0,0.421,19.0,30,0.6,11.3,0.2,,,,0.0,0.0,,5,,18.1,8.7,,Charlie Villanueva,PF,6.0,,,2.6,0.2,Dal,0.0,15.4,0.6,23.6,9.7,2015
0.5,8.0,0.0,0.0,32,1.0,13.8,0.0,,,,1.0,1.0,,3,,25.7,12.4,,Chris Kaman,C,3.0,,,4.7,0.0,Por,0.262,20.4,0.533,14.2,7.8,2015
0.548,124.0,0.415,65.0,29,8.8,39.1,0.25,,,,0.941,51.0,,12,,77.2,37.1,,Chris Paul,PG,22.1,,,4.4,1.83,Lac,0.11,6.3,0.627,23.2,10.2,2015
0.477,44.0,0.478,23.0,23,0.4,2.4,0.2,,,,0.769,13.0,,5,,69.2,33.2,,CJ McCollum,SG,17.0,,,4.0,1.2,Por,0.076,6.5,0.584,21.7,3.6,2015
